part	groupCount	sourceText
1	1	Експресен бибимбап
1	1	Зеленчуков чипс
1	1	Котидж пай
1	1	Лимонова торта
1	1	Месо с плънка от сирене
1	1	Ньоки с бели аспержи
1	1	Пиле с грис и тиквички
1	1	Пиле с лимон и маслини
1	1	Пилешки бульон по селски
1	1	Салата от киноа с бейби зеленчуци и меден сос
1	1	Свински ребра
1	1	Сотирано свинско месо с леща
1	1	Супа мисо със зеле
1	1	Телешка яхния с мисо
1	1	Телешко с кореноплодни
1	1	Тика масала със сьомга
1	1	Турска доматена супа
1	1	Филе миньон с гъби
1	1	Хумус
