part	groupCount	sourceText
8	1	Baby brambory jako caesar salát
8	1	Cajunský losos
8	1	Celozrnný chléb
8	1	Chléb
8	1	Cizrna s máslovou dýní
8	1	Dýňová směs s kaštany
8	1	Focaccia
8	1	Gnocchi se slaninou a hráškem
8	1	Houbový quiche bez těsta
8	1	Hovězí nudle s asijskou barbecue omáčkou
8	1	Hovězí špízy na teriyaki
8	1	Indická kuřecí rýže
8	1	Irský sodový chléb
8	1	Jeden hrnec s hráškem
8	1	Koláč s lososem
8	1	Krémové těstoviny s dýní a špenátem
8	1	Kukuřičný chléb
8	1	Kuře s fazolkovým salátem
8	1	Kuřecí Pho polévka
8	1	Kuřecí rýže na syrský způsob
8	1	Kuřecí špízy na řecký způsob
8	1	Lilek a cizrna na řecký způsob
8	1	Losos s fenyklem a mrkví
8	1	Mini koláčky s mletým hovězím masem
8	1	Miska s lososem na teriyaki
8	1	Ossobuco s batáty
8	1	Ovocná polévka
8	1	Panna cotta s citronem a hruškou
8	1	Plněné cukety
8	1	Ragú z lososa a fenyklu
8	1	Rougail klobásy s paprikami
8	1	Rychlý chléb
8	1	Rýžový nákyp s nektarinkami
8	1	Samosa s tuňákem a vejci
8	1	Smažený květák s kari
8	1	Tortellini se špenátem a ricottou
8	1	Trhaná líčka v tacos
8	1	Vepřová žebírka
8	1	Vepřové špízy
8	1	Vývar s hovězími tortellini a bylinkami
8	1	Zeleninový tabouleh
8	1	Čočka s klobásou a batátem
8	1	Žitný chléb
