part	groupCount	sourceText
8	1	Apfel und Chia Samen Pudding
8	1	Blumenkohl-Paella mit Safran
8	1	Butterbrotkuchen
8	1	Chorizo in Weinsauce
8	1	Eierlikör
8	1	French-Toast-Sticks
8	1	Gedünstete grüne Fritatta
8	1	Gefüllte Paprikaschoten mit Kabeljau
8	1	Gefüllte Putenbrust
8	1	Gemüsepommes mit Tahinisoße
8	1	Glutenfreies Kurkumabrot
8	1	Gnocchi mit Pesto und Gemüse
8	1	Grieß Halva
8	1	Heidelbeer-Ziegenkäse-Risotto
8	1	Honig-Ricotta-Nektarinen
8	1	Hähnchenflügel
8	1	Hühnercurry mit Erbsen & Reis
8	1	Italienisches Schweineragout
8	1	Japanische Bowl mit Rind Gyudon
8	1	Kaninchen-Tajine mit Oliven
8	1	Karotten-Muschelnudel-Risotto
8	1	Knoblauch-Garnelen
8	1	Kokos-Reispudding mit Obst
8	1	Käsekuchen-Verrinen
8	1	Lasagne Cupcakes
8	1	Linguine alla vongole
8	1	Masala-Lachs
8	1	Mexikanisches Mole-Hähnchen
8	1	Oktopus nach galicischer Art
8	1	Pfirsich-Crumble
8	1	Pozole: Mexikanischer Mais-Eintopf
8	1	Quinoa-Bowl mit Brombeeren
8	1	Ramen mit Lamm und Aprikosen
8	1	Reis-Bowl mit grünem Tee
8	1	Samosas mit Gemüsefüllung
8	1	Schokoporridge mit Erdbeeren
8	1	Süßkartoffel nach indischer Art
8	1	Süßkartoffel-Kroketten
8	1	Tapioka-Pudding mit Mango
8	1	Veganes Moussaka
8	1	Vegetarische Bolognese
8	1	Vegetarische Enchiladas
8	1	Wildreis-Suppe mit Pilzen
8	1	Überraschungs-Fischpasteten
