part	groupCount	sourceText
1	1	Alcachofas
1	1	Arroz con garbanzos especiados
1	1	Champiñones rellenos de Peccorino
1	1	Compota picante de melón
1	1	Conejo con aceitunas
1	1	Cupcakes de lasaña
1	1	Dulce de leche
1	1	Hamburguesa vegetariana
1	1	Huevos al horno con puerros
1	1	Magdalenas de arándanos
1	1	Mariscos y arroz negro
1	1	Palitos de tostadas francesas
1	1	Pasta con panceta y guisantes
1	1	Pastel de limón y frambuesa
1	1	Pudín de pan y mantequilla
1	1	Quiche sin corteza
1	1	Sambousek
1	1	Sardinas en escabeche
1	1	Sopa cremosa de pera y castañas
1	1	Steak tartar vegetariano
1	1	Tazones festivos de lentejas y champiñones
