part	groupCount	sourceText
1	25	Agneau
1	1	Agneau aux fèves et épinards
1	1	Agneau aux haricots verts
1	1	Agneau de Pâques
1	1	Ailes de poulet au cola
1	1	Aloo Palak
1	1	Ananas au riz à la cubaine
1	1	Ananas au sirop
1	1	Araignée de porc à la portugaise
1	1	Arancini à la mozzarella
1	4	Artichaut
1	1	Artichauts
1	21	Asperge
1	1	Asperges au fromage blanc
1	3	Aubergine
1	1	Aubergines au quinoa
1	1	Aubergines à la mozzarella
1	1	Ballotin de foie gras, figues
1	1	Ballotines volaille mortadelle
1	1	Banana bread au chocolat
1	1	Bat' parmentier
1	15	Betterave
1	1	Bibimbap express
1	1	Blanc-manger passion
1	1	Blanquette de poisson coco
1	1	Blanquette de saumon coco
1	1	Blanquette de veau Maggi
1	9	Blette
1	5	Blé
1	1	Bol de saumon teriyaki
1	1	Bol japonais au bœuf gyudon
1	1	Bolognaise aux lentilles
1	1	Bolognaise de poulet
1	1	Bolognaise végétarienne
1	1	Bolognaise éclair
1	1	Bols lentilles champignons
1	1	Bonet piémontais
1	1	Bortsch russe
1	1	Bouchées de cabillaud panées
1	1	Boudin blanc Pommes Poireaux
1	1	Bouillon aux lettres
1	1	Bouillon de poulet au fenouil
1	1	Bouillon de tortellinis de bœuf aux herbes
1	1	Bouillon de volaille rustique
1	1	Bouillon zéro déchet
1	1	Boulettes Azuki Veggie
1	1	Boulettes de boeuf à l’Irlandaise
1	1	Boulettes de bœuf au pavot
1	1	Boulettes de flétan aux herbes
1	1	Boulettes de veau
1	1	Boulettes de viande à la tomate
1	1	Boulettes sauce estragon
1	1	Boulettes à la provençale express
1	1	Boulghour à la tomate
1	3	Boulgour
1	1	Boulgour sauce à la grecque
1	1	Bourgui boulettes
1	1	Brandade au chou-fleur
1	1	Brandade de haddock
1	1	Breadcake au chocolat
1	1	Breadcake banane-raisins
1	1	Bricks au thon et aux œufs
1	1	Brioche facile
1	1	Brioche perdue au chocolat
1	1	Brioche perdue en pudding
1	1	Brioche perdue à la vanille
1	1	Brochettes de poulet satay
1	1	Brochettes de poulet à la grecque
1	1	Brocoli au chorizo
1	1	Bruschetta asperges prosciutto
1	2	Bruschetta haricots & chèvre
1	1	Bruschetta volaille et tomate
1	1	Bubble Tea
1	1	Bulots mayonnaise
1	1	Butternut farcie au chèvre
1	1	Bâtonnets brioche perdue
1	1	Bûche aux légumes
1	23	Bœuf
1	2	Bœuf aux herbes, mode perse
1	1	Bœuf aux pommes de terre
1	1	Bœuf bourguignon des îles
1	1	Bœuf bourguignon mexicain
1	1	Bœuf bourguignon thaï
1	1	Bœuf bourguignon WW
1	1	Bœuf bourguignon à l'indienne
1	1	Bœuf bourguignon à l'italienne
1	1	Bœuf carottes fondant
1	1	Bœuf effiloché
1	1	Bœuf lentilles, citron confit
1	1	Bœuf mijoté aux courgettes et poivrons
1	1	Bœuf oignon et châtaignes
1	1	Bœuf à la coréenne
1	1	Cabillaud aux asperges
1	1	Cabillaud crumble chorizo
1	1	Cabillaud pané et quinoa
1	1	Cabillaud papaye patate douce
1	1	Cabillaud sauce citronnée
1	1	Cake framboise banane choco
1	1	Cake olives jambon & ricotta
1	1	Cake à la peau de banane
2	1	Calamars à la basquaise
2	1	Caldillo de congrio
2	1	Canard aux agrumes
2	1	Cappuccino de patate douce
2	1	Carbonara de canard
2	1	Carbonara de céleri
2	1	Carbonara de légumes
2	1	Cari aux œufs Kerala
2	10	Carotte
2	1	Carpaccio mandarine gingembre
2	1	Casarecce aubergine & anchois
2	1	Cassoulet végétarien
2	1	Caviar d'artichaut
2	1	Caviar d'aubergine au sésame
2	1	Caviar de poivron à la feta
2	1	Cerises confites à l'orange
2	1	Cervelle
2	1	Chakchouka aux œufs
2	11	Champignon
2	1	Champignons au fromage
2	1	Champignons farcis pecorino
2	1	Champignons à la grecque
2	1	Charlotte aux pommes
2	1	Chaud-froid pomme cannelle
2	1	Cheeseburger légumes
2	1	Cheesecake aux marrons
2	1	Cheesecake basque
2	1	Cheesecake chocolat orange
2	1	Cheesecake clémentine et pistache
2	2	Chicken wings
2	1	Chili de dinde facile
2	1	Chili façon super-héros
2	1	Chili végétarien à la coriandre
2	1	Chorizo au vin
2	11	Chou
2	1	Chou chinois à l’aigre-doux
2	5	Chou rouge
2	6	Chou vert
2	1	Chou-fleur
2	1	Chou-fleur béchamel bacon
2	1	Chou-fleur croquant à l'indienne
2	1	Chou-fleur crousti fondant
2	2	Chou-fleur pané au curry
2	1	Chou-fleur sauce soja au miel et butternut
2	1	Chou-fleur saumon & herbes
2	1	Chou-fleur à l'Espagnole
2	1	Chou-fleur à l'indienne
2	1	Chou-fleur épicé aux noix de cajou
2	1	Choux de Bruxelles à la truffe
2	1	Choux fleur à l'ancienne
2	1	Choux jolis en bouillon thaï
2	1	Churros chorizo
2	1	Citrouille à l'orange
2	1	Clafoutis aux cerises
2	1	Clafoutis aux raisins
2	1	Clafoutis carotte maïs fromage
2	1	Clafoutis chèvre et figue
2	1	Clafoutis framboises
2	2	Clafoutis pêche amandes
2	1	Club sandwich dinde fromage
2	1	Clémentines menthe pignons
2	1	Cocotte de fruits d’hiver
2	1	Cocotte de panais à la morue
2	2	Cocotte fenouil citron
2	1	Cocotte légumes racines
2	1	Cocotte orge champignons
2	1	Cocottes de légumes
2	1	Colin sauce curry
2	1	Colombo de lotte et légumes
2	1	Compote abricots verveine
2	1	Compote au dulce de leche
2	1	Compote clémentines aux épices
2	1	Compote de melon épicée
2	1	Compote poire marron
2	1	Compote pom'fraiz' à boire
2	1	Compote pomme-kiwi
2	1	Compote rhubarbe fraise
2	1	Compotée de fruits rouges
2	1	Compotée poire clémentine
2	1	Coquelet en pot au feu anisé
2	1	Coquelets-au-pot
2	1	Coques en persillade
2	1	Coques et courgettes
2	1	Coquillages et riz noir
2	1	Coquillet'otto jambon italien
2	1	Coquillettes volaille fromage
2	1	Cordon bleu maison
2	6	Courge butternut
2	1	Courgecake au potimarron
2	15	Courgette
2	1	Courgettes au pesto
2	1	Courgettes à la bolognaise
2	1	Couscous au poulet
2	1	Couscous aux œufs durs
2	1	Couscous boulgour facile
2	2	Couscous de la mer
2	1	Couscous poulet rutabaga
2	1	Couscous végétal
2	9	Crevette
2	2	Crevettes panées
3	1	Crevettes à l'ail
3	1	Croquettes de patates douces
3	1	Croquettes de poisson
3	1	Crumble aux pêches
3	1	Crumble de figues rôties
3	2	Crème amande et miel
3	1	Crème au caramel
3	1	Crème au chocolat blanc
3	1	Crème au miel et curcuma
3	1	Crème aux œufs
3	1	Crème brûlée au chocolat
3	1	Crème choco praliné orange
3	1	Crème chocolat café
3	1	Crème chocolat noir absolu
3	1	Crème chou rave & pois cassés
3	1	Crème chou-fleur & pois cassés
3	1	Crème coco cœur choco
3	1	Crème de maïs et coco
3	1	Crème de poireaux aux cèpes
3	1	Crème dessert à la vanille
3	1	Crème d’artichaut
