part	groupCount	sourceText
1	1	Abeceda juha
1	1	Crni rižoto od sipe
1	1	Dva dipa
1	1	Estouffade od lososa i komorača
1	1	Fiš paprikaš
1	1	Flan od povrća i gruyèra
1	1	Fusilli s lososom
1	1	Hrbat divljači s crnim ribizom
1	1	Jednostavni mousse od čokolade
1	1	Juha od crvene leće
1	1	Juha od mrkve
1	1	Juha od tri vrste graha
1	1	Juneći gulaš s pimentom
1	1	Juneći obrazi s čilijem
1	1	Kus-kus s tvrdo kuhanim jajima
1	1	Mesne okruglice u umaku od rajčice
1	1	Meso punjeno sirom
1	1	Njoki carbonara s vrhnjem
1	1	Panakota s jagodama
1	1	Pastirska pita
1	1	Puding od banane i datulja
1	1	Punjena paprika
1	1	Ravioli s orasima i gorgonzolom
1	1	Riblji kroketi
1	1	Riža, leća i šafran
1	1	Rolade od šunke s rižom
1	1	Rougail od kobasica
1	1	Salata od bijelog graha
1	1	Salata od bulgura i začinskog bilja
1	1	Salata od slanutka i sezama
1	1	Svinjska rebra u slatko-kiselom umaku
1	1	Zeleni curry s ribom
1	1	Zrnati sir sa šumskim voćem
1	1	Čobanac
