part	groupCount	sourceText
8	1	Bacalhau à Gomes de Sà
8	1	Banánkenyér csokoládéval
8	1	Banánkrém
8	1	Borjú Marengo
8	1	Bulgur paradicsommal
8	1	Csicseriborsó görög módra
8	1	Csicseriborsós szezámos saláta
8	1	Csirke lime-mal és kókusszal
8	1	Csirkehúsleves édesköménnyel
8	1	Csokoládé terrine
8	1	Csokoládétorta utazáshoz
8	1	Csőben sült lasagne
8	1	Cékla és dinnye saláta
8	1	Expressz edamame
8	1	Falafel vesebabból
8	1	Fűszeres steak burgonya
8	1	Gesztenyés tök
8	1	Gnocchi szalonnával és borsóval
8	1	Gombás rizs
8	1	Gulyás
8	1	Gyors kínai stílusú húskeverék
8	1	Gyudon japán marhahúsos egytálétel
8	1	Hal grillezett zöldségekkel
8	1	Hibachi csirke
8	1	Japán stílusú marhapörkölt
8	1	Karácsonyi puding
8	1	Klementin, menta és fenyőmag
8	1	Koreai stílusú marhahús
8	1	Káposztaleves
8	1	Könnyű tonhalas onigiri
8	1	Lazacos-spenótos lasagne
8	1	Láthatatlan almás torta
8	1	Minis Kimbap
8	1	Padlizsán és szezámmag mártogatós
8	1	Padlizsános zellerkrém
8	1	Panírozott garnéla
8	1	Panírozott tőkehal quinoával
8	1	Paprikás krumpli sertéshússal
8	1	Pozole leves
8	1	Provance-i zöldségek feta sajttal
8	1	Párolt körte
8	1	Párolt marhahús cukkinivel és paprikával
8	1	Sertéshús tekercsek
8	1	Sonkás- mustáros pite
8	1	Spárgás rizottó
8	1	Szilvalekvár
8	1	Sárga smoothie paprikával
8	1	Sárgarépás sertéscomb
8	1	Sült cukkini
8	1	Tonhalas quiche kéreg nélkül
8	1	Tőkehal kókusztejben
8	1	Tőkehal és lencse dhal
8	1	Udon leves gombával
8	1	Vegetáriánus bolognai spagetti
8	1	Vegetáriánus cassoulet
8	1	Zöld minestrone
8	1	Édes-savanyú csirke
