part	groupCount	sourceText
7	2	Rillettes di merluzzo con olive
7	3	Riso
7	4	Riso a grani lunghi
7	1	Riso al curry, ceci e tofu
7	2	Riso al latte
7	1	Riso alla cantonese
7	1	Riso alla salamella
7	1	Riso cantonese all'italiana
7	1	Riso con salmone al sesamo
7	2	Riso integrale
7	1	Riso integrale al limone
7	1	Riso latte
7	1	Riso nero alla puttanesca
7	1	Riso nero e verdure
7	1	Riso nero mediterraneo
7	1	Riso pilaf alle zucchine e limone
7	1	Riso rosso erbe aromatiche
7	1	Riso venere alle seppie e piselli
7	1	Riso venere menta e fragole
7	1	Risolatte al caramello veloce
7	1	Risolatte alle castagne
7	1	Risotto agli asparagi
7	1	Risotto agrumi e burrata
7	1	Risotto ai carciofi
7	1	Risotto ai finferli
7	2	Risotto ai frutti di mare
7	1	Risotto ai piselli con menta
7	1	Risotto al cacio, pepe e asparagi
7	1	Risotto al limone e salvia
7	1	Risotto al nero di seppia
7	1	Risotto al radicchio
7	1	Risotto al tartufo
7	1	Risotto alla burrata e gamberi
7	1	Risotto alla milanese
7	1	Risotto alla parmigiana
7	1	Risotto alla salsiccia
7	1	Risotto alla zucca
7	1	Risotto alla zucca e pinoli
7	1	Risotto alle erbe aromatiche
7	1	Risotto alle melanzane
7	1	Risotto alle ortiche
7	1	Risotto carciofi e pesto rosso
7	1	Risotto coi funghi
7	1	Risotto coi peperoni
7	1	Risotto col salmone
7	1	Risotto con carciofi e zucca
7	1	Risotto con olive nere
7	1	Risotto di grano saraceno
7	1	Risotto di grano saraceno e finferli
7	1	Risotto gamberi e zucchine
7	1	Risotto gorgonzola e fichi
7	1	Risotto in viola
7	1	Risotto integrale
7	1	Risotto melagrana e spumante
7	1	Risotto pere e taleggio
7	1	Risotto primavera
7	1	Risotto zucca e burrata
7	1	Risotto zucchine e funghi
7	1	Roast beef
7	2	Roast beef alla senape
7	1	Roast beef autunnale
7	1	Rollata di vitello al prosciutto
7	1	Rollé di faraona in porchetta
7	1	Rose di branzino con lattughino
7	1	Rosti di patate e funghi
7	1	Rotolini tricolore
7	1	Rotolo di spinaci
7	1	Saccotti di vitello e pecorino
7	1	Salmone al pepe rosa
7	1	Salmone al pomodoro
7	1	Salmone allo yogurt e rafano
7	1	Salmone allo zafferano
7	1	Salmone con zenzero e fave
7	1	Salmone pistacchi e erbe
7	1	Salmone Tikka Masala
7	1	Salsa di fragole
7	1	Salsa di melanzana e semi
7	1	Salsa di peperoni e feta
7	1	Salsicce con patate
7	1	Salsicce e fagioli in umido
7	1	Salsicciotti e cipolle
7	1	Samosa con tonno e uova
7	1	Samosa di verdure
7	1	Sautè di riso stracchino e limone
7	1	Sauté di gamberi tandoori
7	1	Sauté di vitello alle melanzane
7	1	Scaloppine ai funghi
7	1	Scaloppine di vitello
7	8	Sedano rapa
7	1	Seppia alla catalana
7	1	Seppie con piselli
7	1	Seppioline in pesto alla siciliana
7	1	Sformato di cioccolato e zucca
7	1	Sformato di limone e pinoli
7	1	Sformato di panettone
7	1	Sformato di verdure e groviera
7	1	Sorbetto ai frutti rossi
7	1	Sorprese di ananas e mandarini
7	1	Sovracosce pinoli pesto di salvia
7	1	Spadellata di verdure
8	1	Spaghetti aglio olio
8	1	Speck e lenticchie
8	1	Spezzatino birra e funghi
8	1	Spezzatino coi funghetti
8	1	Spezzatino e patate
8	1	Spicchi di patate speziati
8	1	Spiedini
8	1	Spiedini di pesce
8	1	Spinaci al peperoncino
8	1	Spinaci con panna e wurstel
8	4	Spinacio
