part	groupCount	sourceText
1	1	Ajurwedyjskie kitchari
1	1	Amerykańska kanapka wg Andrzeja Andrzejczaka
1	1	Aromatyczna zupa z fasolą
1	1	Aromatyczna zupa ze świeżych pomidorów
1	1	Aromatyczne kaszotto z gruszkami Pati
1	1	Aromatyczne pomarańczowe ciasto
1	1	Azjatycki makaron ryżowy z indykiem i warzywami
1	1	Baba łososiowa z ekspresowym sosem tatarskim
1	1	Babeczki cytrynowe
1	1	Babeczki z budyniem
1	1	Babeczki z musu owocowego
1	1	Babka drożdżowa
1	1	Babka ziemniaczana z białą kiełbasą i cebulą cukrową
1	5	Bakłażan
1	1	Bakłażan i curry z ciecierzycy
1	1	Bakłażany z komosą ryżową
1	1	Balotyna z mortadelą i pistacjami
1	1	Bananowe babeczki
1	1	Bananowe babeczki z czekoladą
1	1	Banany z sezamem
1	1	Bao z kurczakiem
1	1	Barszcz biały z pulpetami z białej kiełbasy
1	1	Barszcz czerwony
1	1	Barszcz czerwony wg Jurka Sobieniaka
1	1	Barszcz wigilijny wg Pati Sołtysik
1	1	Barwena z semoliną i warzywami
1	13	Batat
1	1	Bataty pieczone z camembertem
1	1	Bataty z warzywami i sosem
1	1	Beef noodles with Asian barbecue sauce
1	1	Bezglutenowe pierożki z pora nadziewane wieprzowiną
1	1	Bezglutenowy chleb
1	1	Bezglutenowy makaron z kurczakiem
1	1	Biała kapusta z chorizo i krewetkami
1	1	Biała kiełbasa duszona w maślance
1	1	Biała kiełbasa w sosie cebulowo-piwnym
1	1	Biała kiełbasa w sosie śmietanowo-chrzanowym
1	1	Biały grzaniec
1	1	Bigos
1	1	Bigos z baraniną i wędzoną śliwką
1	1	Biszkopt borówkowy
1	1	Biszkopt budyniowy
1	1	Biszkopt sączony białą czekoladą
1	1	Bita śmietana z truskawkami i jabłkami
1	1	Bitki wieprzowe z pieczarkami
1	1	Bitki wołowe
1	1	Bitki wołowe w kapuście kiszonej z wędzoną śliwką
1	1	Bitki wołowe w sosie musztardowym
1	1	Blancmange z marakują
1	1	Boczek po chińsku
1	1	Bolognese w stylu szefa kuchni
1	1	Bolognese warzywne z wołowiną i kurkami
1	1	Bonet piemontese, deser z Piemontu
1	1	Botwinka według Pati Sołtysik
1	1	Bowl z dynią i brukselką
1	1	Bowle z soczewicą i grzybami
1	7	Boćwina
1	1	Brandade z kalafiorem
1	1	Bretoński przecier jabłkowy
1	1	Brioszka
1	8	Brokuł
1	1	Brokuły po hiszpańsku wg Bartka Boratyna
1	1	Brokuły z chorizo
1	1	Brokuły z migdałami
1	1	Brokuły ze słodkim sosem sojowym, smażonym czosnkiem i chili
1	1	Brownie bananowe
1	1	Brownie z 3 składników
1	1	Brownie z fasoli
1	9	Brukiew
1	9	Brukselka
1	1	Brukselka z truflową nutą
1	1	Bruschetta z fasoli i koziego sera
1	1	Bruschetta z kurczakiem i pomidorami
1	1	Bruschetta z szynką i szparagami
1	1	Brzoskwinie faszerowane camembertem
1	1	Brzoskwinie pod kruszonką
1	1	Bubble tea
1	1	Budyń jaglany z acai
1	1	Bulgur z kurczakiem i pieczarkami
1	1	Bulion drobiowy
1	1	Bulion pho z grzybami mun i wołowiną
1	1	Bulion z krewetek
1	1	Bulion z lanymi kluseczkami
1	1	Bulion zero waste
1	1	Buraczane taco z szarpaną wieprzowiną
1	18	Burak
1	1	Burger wegański
1	1	Burger wegetariański
1	1	Burgery wołowe
1	1	Bułeczki bao wg Andrzeja Andrzejczaka
1	1	Bób z masłem i koperkiem
1	1	Błyskawiczne spaghetti bolognese
1	1	Błyskawiczny bibimbap
1	1	Błyskawiczny hotpot
1	1	Caldillo de congrio (chilijska zupa rybna)
1	1	Cappuccino z batatów
1	1	Carbonara z cukinii
1	1	Carbonara z kaczki
1	1	Carbonara z selera
1	1	Carpaccio z buraka
2	1	Carpaccio z mandarynek i imbiru
2	1	Cassoulet wg Andrzeja Andrzejczaka
2	1	Chałwa waniliowo-kardamonowa
2	1	Chałwa z semoliny
2	1	Chili con carne z kukurydzą na makaronie sojowym (bez glutenu)
2	1	Chili sin carne
2	1	Chilli con carne
2	1	Chilli con carne low carb z brokułem i guacamole
2	1	Chińskie danie zerowaste
2	1	Chińskie jajko (zupa z jajkami faszerowanymi mięsem)
2	1	Chleb
2	1	Chleb bezglutenowy
2	1	Chleb kasztanowo-gryczany
2	1	Chleb kukurydziany
2	1	Chleb razowy
2	1	Chleb sodowy
2	1	Chleb żytni
2	1	Chlebek bananowo-kokosowy
2	2	Chlebek bananowy
2	1	Chlebek bananowy z czekoladą
2	1	Chlebek czosnkowo-serowy
2	1	Chlebek ziołowy
2	1	Chorizo w sosie z czerwonego wina
2	1	Chowder z kukurydzą wg Kiszki
2	1	Chrupiące pałki z kurczaka z ziemniakami
2	1	Chrupiący boczek ze słodkim sosem czosnkowo-majerankowym
2	1	Chrupiący pasztet warzywny
2	1	Chrzanowa zupa krem
2	1	Chłodnik ananasowy z kolendrą
2	1	Chłopski gar
2	1	Ciasteczka francuskie z jabłkiem
2	1	Ciastka z jabłkiem
2	1	Ciastka z wiśniami
2	1	Ciastko z płynnym środkiem
2	1	Ciasto ananasowe do góry nogami
2	1	Ciasto bananowe z borówkami
2	1	Ciasto bananowo-daktylowe
2	2	Ciasto bretońskie z suszonymi śliwkami
2	1	Ciasto brzoskwiniowo-migdałowe
2	1	Ciasto cytrynowe
2	1	Ciasto cytrynowo-malinowe
2	1	Ciasto czekoladowe
2	1	Ciasto jajeczne z sałatą i serem munster
2	1	Ciasto jogurtowe
2	2	Ciasto marchewkowe
2	1	Ciasto na Halloween
2	1	Ciasto orzechowe na parze
2	2	Ciasto pomarańczowe
2	1	Ciasto truskawkowe
2	1	Ciasto wiśniowe
2	1	Ciasto z oliwkami, szynką i ricottą
2	1	Ciasto ze skórek banana wg Bartka Boratyna
2	1	Ciasto ze skórki z banana
2	1	Ciecierzyca po wegetariańsku
2	1	Ciecierzyca z algami kombu
2	1	Ciecierzyca z cytrusami
2	1	Ciecierzyca z pieczarkami
2	1	Ciecierzyca z pikantną kapustą
2	16	Cielęcina
2	1	Cielęcina Marengo
2	1	Cielęcina mojito
2	1	Cielęcina w jogurtowym sosie z szałwią i kuminem
2	1	Compote z owoców leśnych
2	1	Coq au vin
2	11	Cukinia
2	1	Cukinia z burratą
2	1	Cukinie nadziewane
2	1	Cukinie po bolońsku
2	1	Curry dyniowo-ziemniaczane
2	1	Curry krem z ciecierzycą
2	1	Curry po kreolsku
2	1	Curry z dynią i ciecierzycą
2	1	Curry z krewetkami
2	1	Curry z krewetkami i zielonym groszkiem
2	1	Curry z kurczaka
2	1	Curry z mintajem
2	1	Curry z ryżem, ciecierzycą i tofu
2	1	Curry z soczewicą i kalafiorem
2	1	Currywurst
2	10	Cykoria
2	1	Cynamonowe francuskie tosty-paluszki
2	1	Cytrynowe deserki
2	1	Cytrynowy kurczak z ryżem
2	1	Cytrynowy ryż z łososiem
2	1	Cytrynowy sernik z ricotty
2	1	Czarna soczewica beluga z krewetkami
2	1	Czarny las
