part	groupCount	sourceText
1	1	Batatas fritas
1	2	Bolo de iogurte
1	1	Bolo de limão e framboesa
1	1	Bolo Monstro
1	1	Chamuças de legumes
1	1	Chili de peru fácil
1	1	Crumble de pêssego
1	1	Cubos de bacalhau panados
1	1	Doce de melão picante
1	1	Entrecosto agridoce de alperce
1	1	Gnocchi cremosos
1	1	Mini Bolo Pirata
1	1	Mini curgete cordon bleu
1	1	Muffins de mirtilo
1	1	Palitos de feta fritos
1	1	Peixe e Batatas Fritas
1	1	Pudim de arroz com caramelo
1	1	Pudim de chocolate branco
1	1	Shots de peixe com wasabi
1	1	Vieiras assadas com Chablis
