part	groupCount	sourceText
1	1	Бараньи ребрышки с лимоном
1	1	Бисквитный кекс
1	1	Запеченные кабачки
1	1	Крамбл с инжиром
1	1	Крамбл с треской и чоризо
1	1	Креветки в панировке
1	1	Курица с лимоном и тимьяном
1	1	Кусочки трески в панировке
1	1	Лазанья
1	1	Лосось тикка масала
1	1	Макэндчиз
1	1	Мусака
1	1	Овощные самосы
1	1	Панна-котта
1	1	Свиные ребрышки
1	1	Спринг-роллы с креветками
1	1	Треска с травами
1	1	Фалафель из фасоли
1	1	Фаршированные кабачки
1	1	Хрустящая треска с киноа
1	1	Чесночные куриные крылышки
