part	groupCount	sourceText
8	1	Ananás s ryžou na kubánsky spôsob
8	1	Avokádová pena s krevetami
8	1	Banánovo-datlový puding
8	1	Bo bun
8	1	Bulgur
8	1	Carbonara a smotanové gnocchi
8	1	Cestoviny so zeleninou
8	1	Cuketový koláč
8	1	Frittata s klobásou a zemiakmi
8	1	Hovädzie rezance s ázijskou barbecue omáčkou
8	1	Humus
8	1	Jahňacie kotlety s citrónom
8	1	Jednoduchý bulgur kuskus
8	1	Karfiol po indicku
8	1	Krémová hruškovo-gaštanová polievka
8	1	Kura s citrónom a tymiánom
8	1	Kurací ryžový štýl po sýrsky
8	1	Losos na Cajunský spôsob
8	1	Makrelová nátierka
8	1	Mušle s čiernou ryžou
8	1	Obaľované nugetky z tresky
8	1	Obložené chleby so špargľou a krevetami
8	1	Piškóta
8	1	Plnená cuketa
8	1	Quiche bez cesta s hubami
8	1	Rybie filety s mandľami
8	1	Ryža, šošovica a šafran
8	1	Slávnostné misky so šošovkou a hubami
8	1	Tortily s pstruhom a feniklom
8	1	Treska obaľovaná v quinoe
8	1	Treskovo-klobásový crumble
8	1	Zeleninové vianočné poleno
8	1	Zelerové Carbonara
8	1	Zemiakové hranolky
8	1	Čokoládový fondán
8	1	Šampiňóny plnené pekorínom
8	1	Škótske vajíčka
